WORD,Domain,Length,Explanation,Hint
adder,Hardware,5,Can be an opamp based adder to add analog signals or a digital adder,An arithmetic circuit
aging,Hardware,5,"Electronic components age with time, leading to reliability problems.",Causes circuits to fail over time.
anode,Hardware,5,Positive electrode,One of the terminals of a battery.
audio,Software,5,Audio may refer to audio frequencies (few Hz to a few kHz) which a human ear can perceive.,A type of signal that DSP can process.
board,Hardware,5,Board refers to a printed circuit board in electronics.,A medium to build an electronic system.
boron,Semicon,5,Boron is a p-type impurity that is added to make pure silicon a p-type siicon.,A chemical element used in semiconductors.
cable,Hardware,5,Cable refers to connecting wire(s) in an electronic system.,An interconnection element.
clamp,Semicon,5,To clamp an analog signal is to add a DC voltage to the signal.,This is a way to hold an analog signal.
clear,Hardware,5,Flipflops have a 'clear' input to clear their output asynchronously to 0.,"A kind of input signal, it is also a kind of soup."
clock,Hardware,5,A timing signal in a digital synchronous circuit.,"On, Off, On, Off, … "
decay,Semicon,5,The transient response a circuit may decay over time.,"An English word that means to ""go bad over time"""
delay,Hardware,5,Time delay in a digital circuit.,Flights sometimes have this problem.
delta,Hardware,5,"A small increment is referred to as delta, e.g. delta-t is a small increment in time.",A Greek alphabet
diode,Semicon,5,A semiconductor device or a vacuum tube device which conducts current only in one direction.,A two-terminal device.
donor,Semicon,5,An atom which donates an electron in the lattice structure.,A charity-minded material.
doped,Semicon,5,When impurities are added to pure semicon material,A semicon material which is durgged?
drain,Semicon,5,One of the terminals of an FET.,Majority carriers flow into this terminal.
drift,Semicon,5,A current caused by drifting of majority carriers is a 'drift' current.,Move steadily in one direction…
epoxy,Semicon,5,A type of resin used in semiconductor manufacturing.,A chemical used in fabrication
eprom,Hardware,5,Electrically programmable read-only memory.,"It is not volatile, for sure"
farad,Hardware,5,"Named after Faraday, this is a unit of capacitance.",Measurement unit of an electrical quantity
fault,Hardware,5,A fault in an electronic can cause it to malfunction.,A malfunction?
flash,Hardware,5,FLASH memory is a type of semiconductor memory which can be mass-erased quickly.,A kind of storage
henry,Hardware,5,Henry is the unit of inductance.,Measurement unit of an electrical quantity
hertz,Hardware,5,Hertz is the unit of frequency.,Measurement unit of an electrical quantity
image,Software,5,An image consists of a rectangular array of picture elements or pixels.,It has many picture elements
ingot,Semicon,5,Material from which semiconductor wafers are prepared.,"Before we get wafers, we have this"
input,Hardware,5,Refers to the input signal to an electronic circuit.,Brings information in
joule,Hardware,5,Joule is a unit of energy.,Measurement unit of an electrical quantity
laser,Hardware,5,A synthesized form of radiation that finds many applications in imaging and medicine.,It is used in entertainment shows.
latch,Hardware,5,A latch is a digital logic device which stores the input value in the output when a strobe input is provide.,Grab the data and store.
ldmos,Semicon,5,LDMOS is a short form for laterally-diffused metal-oxide semiconductor,A type of semicnductor technology.
